index	count
real	42
0	41
1	40
2	44
3	46
4	40
5	39
6	39
7	43
8	44
9	42
10	43
11	39
12	42
13	44
14	42
15	46
16	47
17	41
18	44
19	40
20	44
21	41
22	45
23	42
24	44
25	44
26	42
27	42
28	37
29	42
30	41
31	48
32	38
33	41
34	43
35	40
36	44
37	42
38	40
39	44
40	43
41	45
42	47
43	40
44	38
45	39
46	37
47	41
48	43
49	41
50	40
51	39
52	46
53	38
54	46
55	43
56	43
57	40
58	46
59	43
60	42
61	45
62	44
63	46
64	43
65	37
66	47
67	45
68	42
69	44
70	40
71	45
72	40
73	42
74	44
75	38
76	47
77	42
78	47
79	40
80	41
81	52
82	47
83	39
84	40
85	40
86	39
87	43
88	44
89	43
90	48
91	45
92	42
93	42
94	49
95	45
96	44
97	43
98	40
99	46
100	42
101	41
102	37
103	45
104	46
105	38
106	43
107	37
108	42
109	41
110	41
111	43
112	38
113	46
114	49
115	41
116	39
117	45
118	45
119	46
120	40
121	40
122	41
123	42
124	40
125	48
126	36
127	40
128	48
129	45
130	47
131	42
132	43
133	40
134	38
135	37
136	44
137	40
138	45
139	41
140	40
141	46
142	46
143	42
144	38
145	41
146	41
147	42
148	44
149	38
150	47
151	38
152	39
153	45
154	41
155	43
156	42
157	38
158	44
159	46
160	48
161	46
162	38
163	42
164	39
165	40
166	39
167	41
168	45
169	46
170	42
171	48
172	43
173	40
174	41
175	41
176	42
177	41
178	43
179	41
180	44
181	42
182	47
183	39
184	40
185	47
186	39
187	39
188	40
189	38
190	46
191	40
192	44
193	44
194	41
195	42
196	41
197	42
198	43
199	43
200	40
201	44
202	44
203	43
204	45
205	40
206	42
207	38
208	47
209	47
210	46
211	43
212	44
213	42
214	45
215	49
216	40
217	42
218	42
219	37
220	38
221	46
222	44
223	45
224	41
225	43
226	41
227	41
228	43
229	41
230	37
231	44
232	41
233	43
234	42
235	39
236	44
237	38
238	42
239	41
240	43
241	43
242	45
243	39
244	46
245	41
246	41
247	42
248	44
249	40
250	48
251	40
252	41
253	43
254	38
255	38
256	38
257	40
258	46
259	42
260	43
261	42
262	44
263	46
264	38
265	47
266	51
267	46
268	45
269	44
270	43
271	44
272	43
273	45
274	41
275	42
276	43
277	39
278	43
279	41
280	44
281	37
282	43
283	47
284	39
285	39
286	43
287	39
288	46
289	42
290	42
291	41
292	41
293	42
294	45
295	36
296	44
297	43
298	40
299	41
300	41
301	42
302	38
303	42
304	42
305	38
306	44
307	40
308	43
309	40
310	45
311	45
312	45
313	45
314	43
315	44
316	43
317	40
318	44
319	41
320	46
321	38
322	46
323	42
324	40
325	42
326	40
327	42
328	44
329	45
330	40
331	43
332	43
333	41
334	43
335	46
336	43
337	46
338	42
339	40
340	43
341	43
342	46
343	36
344	41
345	45
346	36
347	43
348	41
349	42
350	44
351	47
352	42
353	45
354	44
355	41
356	42
357	40
358	43
359	41
360	47
361	49
362	43
363	42
364	43
365	41
366	44
367	42
368	43
369	43
370	39
371	40
372	39
373	43
374	42
375	40
376	38
377	40
378	42
379	43
380	46
381	47
382	44
383	42
384	46
385	43
386	35
387	40
388	46
389	47
390	43
391	44
392	41
393	43
394	40
395	43
396	43
397	39
398	37
399	43
400	42
401	42
402	43
403	43
404	45
405	45
406	41
407	40
408	41
409	41
410	44
411	38
412	43
413	41
414	43
415	43
416	45
417	45
418	41
419	46
420	44
421	41
422	45
423	40
424	40
425	42
426	42
427	42
428	42
429	37
430	40
431	45
432	41
433	44
434	40
435	46
436	47
437	38
438	41
439	39
440	44
441	45
442	40
443	41
444	46
445	39
446	47
447	41
448	43
449	41
450	41
451	46
452	42
453	42
454	44
455	43
456	41
457	41
458	39
459	39
460	43
461	44
462	42
463	42
464	43
465	38
466	44
467	42
468	43
469	46
470	40
471	45
472	43
473	42
474	39
475	47
476	43
477	41
478	44
479	47
480	42
481	44
482	41
483	45
484	48
485	41
486	38
487	44
488	47
489	47
490	46
491	45
492	40
493	36
494	43
495	42
496	41
497	43
498	42
499	40
500	45
501	47
502	43
503	43
504	41
505	43
506	41
507	44
508	40
509	45
510	44
511	43
512	45
513	42
514	44
515	43
516	39
517	41
518	43
519	42
520	43
521	47
522	41
523	43
524	40
525	41
526	46
527	42
528	41
529	42
530	39
531	39
532	40
533	46
534	45
535	42
536	45
537	44
538	32
539	46
540	47
541	42
542	42
543	44
544	42
545	42
546	44
547	46
548	45
549	46
550	43
551	43
552	47
553	42
554	41
555	40
556	41
557	43
558	45
559	36
560	41
561	42
562	43
563	44
564	44
565	43
566	40
567	43
568	43
569	41
570	39
571	42
572	43
573	44
574	41
575	47
576	41
577	44
578	42
579	40
580	40
581	41
582	44
583	44
584	48
585	38
586	38
587	43
588	46
589	45
590	38
591	42
592	42
593	42
594	44
595	42
596	46
597	44
598	45
599	42
600	42
601	45
602	48
603	39
604	45
605	38
606	45
607	43
608	39
609	45
610	44
611	45
612	42
613	41
614	43
615	44
616	46
617	45
618	40
619	38
620	43
621	44
622	42
623	43
624	44
625	45
626	41
627	36
628	46
629	42
630	43
631	37
632	43
633	41
634	39
635	41
636	43
637	42
638	41
639	43
640	42
641	41
642	41
643	45
644	40
645	42
646	38
647	40
648	42
649	40
650	38
651	39
652	36
653	40
654	42
655	40
656	40
657	43
658	45
659	42
660	43
661	40
662	37
663	48
664	34
665	41
666	41
667	39
668	41
669	42
670	42
671	38
672	44
673	43
674	43
675	42
676	43
677	41
678	44
679	41
680	46
681	37
682	39
683	39
684	47
685	41
686	41
687	43
688	41
689	41
690	44
691	44
692	38
693	42
694	44
695	43
696	44
697	39
698	42
699	41
700	37
701	43
702	39
703	39
704	46
705	41
706	43
707	40
708	44
709	40
710	44
711	38
712	45
713	46
714	43
715	45
716	42
717	42
718	44
719	42
720	42
721	48
722	41
723	44
724	43
725	43
726	43
727	44
728	43
729	39
730	43
731	40
732	40
733	46
734	47
735	44
736	42
737	43
738	47
739	36
740	43
741	41
742	43
743	46
744	43
745	38
746	45
747	40
748	39
749	42
750	44
751	44
752	38
753	45
754	40
755	44
756	45
757	41
758	40
759	43
760	43
761	39
762	42
763	45
764	48
765	41
766	48
767	35
768	44
769	43
770	44
771	42
772	42
773	45
774	42
775	44
776	35
777	41
778	38
779	39
780	42
781	37
782	38
783	42
784	44
785	40
786	47
787	42
788	38
789	39
790	44
791	43
792	45
793	42
794	49
795	41
796	43
797	40
798	44
799	43
800	46
801	36
802	39
803	40
804	40
805	40
806	43
807	39
808	44
809	44
810	41
811	41
812	43
813	45
814	41
815	43
816	43
817	37
818	41
819	45
820	38
821	43
822	46
823	40
824	45
825	40
826	48
827	45
828	39
829	41
830	42
831	47
832	46
833	40
834	42
835	43
836	47
837	46
838	41
839	46
840	42
841	46
842	38
843	41
844	45
845	46
846	43
847	40
848	46
849	43
850	39
851	35
852	44
853	42
854	46
855	40
856	40
857	44
858	40
859	43
860	40
861	42
862	39
863	44
864	43
865	42
866	41
867	43
868	45
869	44
870	42
871	40
872	42
873	40
874	41
875	44
876	36
877	41
878	41
879	39
880	41
881	41
882	45
883	43
884	41
885	45
886	44
887	42
888	38
889	41
890	41
891	45
892	41
893	44
894	41
895	41
896	42
897	43
898	42
899	43
900	44
901	45
902	43
903	40
904	45
905	39
906	36
907	41
908	39
909	44
910	41
911	36
912	37
913	44
914	39
915	39
916	42
917	41
918	42
919	40
920	43
921	40
922	33
923	40
924	47
925	42
926	41
927	46
928	43
929	48
930	48
931	40
932	44
933	45
934	42
935	43
936	47
937	43
938	43
939	46
940	41
941	44
942	41
943	45
944	46
945	38
946	40
947	39
948	43
949	44
950	44
951	46
952	42
953	45
954	48
955	43
956	44
957	44
958	46
959	40
960	49
961	45
962	44
963	43
964	43
965	39
966	45
967	37
968	37
969	44
970	41
971	43
972	45
973	44
974	42
975	40
976	46
977	41
978	43
979	44
980	43
981	46
982	47
983	38
984	44
985	46
986	46
987	47
988	41
989	39
990	46
991	46
992	46
993	40
994	42
995	48
996	41
997	41
998	44
999	41
