geneID_A	geneID_B	origins
11198	255626	BioPlex|CoFrac
6749	11198	BioPlex|CoFrac
1915	1937	BioPlex|CoFrac|QUBIC
1915	7407	BioPlex|CoFrac|QUBIC
3959	7283	BioPlex|QUBIC
55388	55722	HI-union|QUBIC
329	55093	BioPlex|HI-union
8350	25842	Lit-BM-13|BioPlex|HI-union
1891	10455	BioPlex|CoFrac
25842	55723	Lit-BM-13|QUBIC
6125	11224	CoFrac|QUBIC
6124	11224	CoFrac|QUBIC
6129	11224	CoFrac|QUBIC
6143	11224	CoFrac|QUBIC
6142	11224	CoFrac|QUBIC
6147	11224	CoFrac|QUBIC
6146	11224	CoFrac|QUBIC
9349	11224	CoFrac|QUBIC
6204	11224	CoFrac|QUBIC
6206	11224	CoFrac|QUBIC
6207	11224	CoFrac|QUBIC
6202	11224	CoFrac|QUBIC
6203	11224	CoFrac|QUBIC
6208	11224	CoFrac|QUBIC
6156	11224	CoFrac|QUBIC
6194	11224	CoFrac|QUBIC
6191	11224	CoFrac|QUBIC
6193	11224	CoFrac|QUBIC
6222	11224	CoFrac|QUBIC
6223	11224	CoFrac|QUBIC
3921	11224	CoFrac|QUBIC
6130	11224	CoFrac|QUBIC
6134	11224	CoFrac|QUBIC
6135	11224	CoFrac|QUBIC
6152	11224	CoFrac|QUBIC
6155	11224	CoFrac|QUBIC
6157	11224	CoFrac|QUBIC
11224	25873	CoFrac|QUBIC
11224	23521	CoFrac|QUBIC
1917	1937	BioPlex|CoFrac
1937	3895	BioPlex|QUBIC
1937	7407	BioPlex|CoFrac
1104	727851	BioPlex|QUBIC
28952	54939	BioPlex|QUBIC
5713	80227	BioPlex|CoFrac
7322	11043	Lit-BM-13|HI-union
9657	80184	BioPlex|QUBIC
10120	10540	BioPlex|CoFrac|QUBIC
7203	10120	BioPlex|QUBIC
830	10120	BioPlex|QUBIC
10120	11258	BioPlex|QUBIC
1639	10120	BioPlex|CoFrac|QUBIC
10120	79031	BioPlex|QUBIC
1643	10980	BioPlex|QUBIC
573	5700	BioPlex|QUBIC
4869	6124	BioPlex|QUBIC
4869	6122	BioPlex|QUBIC
4869	6147	BioPlex|QUBIC
4869	6168	BioPlex|QUBIC
4736	4869	BioPlex|QUBIC
4869	9933	BioPlex|QUBIC
4869	6132	BioPlex|QUBIC
4869	6130	BioPlex|QUBIC
5887	29978	HI-union|CoFrac
5710	5887	Lit-BM-13|CoFrac
5886	29978	Lit-BM-13|HI-union|CoFrac
5886	29979	Lit-BM-13|CoFrac
5710	5886	Lit-BM-13|HI-union
11338	23451	Lit-BM-13|BioPlex
6125	6168	BioPlex|CoFrac
6125	6201	BioPlex|CoFrac
6125	6156	BioPlex|CoFrac
6125	6134	CoFrac|QUBIC
6124	6142	BioPlex|CoFrac
6124	6168	BioPlex|CoFrac
6124	9045	BioPlex|CoFrac
6124	6208	BioPlex|CoFrac
6124	6156	BioPlex|CoFrac
6124	6132	BioPlex|CoFrac
6124	6134	CoFrac|QUBIC
6122	6142	BioPlex|CoFrac
6122	6141	BioPlex|CoFrac
6122	6168	BioPlex|CoFrac
6122	6208	BioPlex|CoFrac
6122	6156	BioPlex|CoFrac
6122	6134	CoFrac|QUBIC
6129	6134	CoFrac|QUBIC
10142	22919	BioPlex|QUBIC
22919	22924	BioPlex|HI-union
1639	22919	Lit-BM-13|QUBIC
10982	22919	BioPlex|HI-union
2783	7203	BioPlex|QUBIC
3192	6141	CoFrac|QUBIC
3192	6146	CoFrac|QUBIC
5585	10142	Lit-BM-13|HI-union
5567	10142	BioPlex|QUBIC
8615	10142	HI-union|QUBIC
60	1627	BioPlex|QUBIC
6143	6202	BioPlex|CoFrac
6134	6143	CoFrac|QUBIC
6141	6142	BioPlex|CoFrac
6142	6147	BioPlex|CoFrac
6142	6168	BioPlex|CoFrac
6142	6161	BioPlex|CoFrac
4736	6142	BioPlex|CoFrac
6142	6156	BioPlex|CoFrac
6132	6142	BioPlex|CoFrac
6130	6142	BioPlex|CoFrac
6137	6142	BioPlex|CoFrac
6134	6142	CoFrac|QUBIC
4839	6142	BioPlex|CoFrac
6141	6168	BioPlex|CoFrac
4736	6141	BioPlex|CoFrac
6141	6156	BioPlex|CoFrac
6132	6141	BioPlex|CoFrac
6134	6141	CoFrac|QUBIC
6147	6168	BioPlex|CoFrac
6134	6147	CoFrac|QUBIC
6134	6146	CoFrac|QUBIC
2275	5885	Lit-BM-13|HI-union
5393	56915	Lit-BM-13|CoFrac|QUBIC
23404	56915	CoFrac|QUBIC
54512	56915	CoFrac|QUBIC
56915	118460	CoFrac|QUBIC
2058	5917	BioPlex|CoFrac
2058	3735	BioPlex|CoFrac
2058	5859	BioPlex|CoFrac
2058	3376	Lit-BM-13|CoFrac
2058	51520	BioPlex|CoFrac
8607	255626	BioPlex|CoFrac
6749	255626	BioPlex|CoFrac
7322	56658	Lit-BM-13|HI-union
6134	9349	CoFrac|QUBIC
5702	9618	BioPlex|HI-union
6134	101929876	CoFrac|QUBIC
1973	1974	BioPlex|CoFrac
5518	6801	HI-union|QUBIC
1973	8661	BioPlex|QUBIC
1973	1982	Lit-BM-13|BioPlex
1973	25998	BioPlex|QUBIC
6134	6169	CoFrac|QUBIC
6161	6168	BioPlex|CoFrac
6128	6168	BioPlex|CoFrac
4736	6168	BioPlex|CoFrac
6168	6202	BioPlex|CoFrac
6156	6168	BioPlex|CoFrac
6168	23212	BioPlex|CoFrac
6138	6168	BioPlex|CoFrac
6132	6168	BioPlex|CoFrac
6130	6168	BioPlex|CoFrac
6137	6168	BioPlex|CoFrac
6154	6168	BioPlex|CoFrac
6155	6168	BioPlex|CoFrac
6168	6175	BioPlex|CoFrac
6168	25873	BioPlex|CoFrac
6134	6160	CoFrac|QUBIC
10197	80011	BioPlex|CoFrac
8607	10856	Lit-BM-13|BioPlex|HI-union|CoFrac|QUBIC
8607	283899	BioPlex|QUBIC
4798	8607	BioPlex|QUBIC
60	8607	CoFrac|QUBIC
439	51608	HI-union|QUBIC
5704	5708	BioPlex|CoFrac
5705	5708	BioPlex|CoFrac
5700	5708	BioPlex|HI-union|CoFrac|QUBIC
5702	5708	BioPlex|CoFrac
5708	11047	BioPlex|CoFrac
5708	9861	CoFrac|QUBIC
5708	10213	CoFrac|QUBIC
5708	5718	BioPlex|CoFrac
5708	5713	BioPlex|CoFrac
5708	5711	BioPlex|CoFrac
5693	5708	CoFrac|QUBIC
5705	5709	BioPlex|CoFrac
5700	5709	CoFrac|QUBIC
5709	11047	BioPlex|CoFrac
5687	5709	HI-union|CoFrac
5709	9861	CoFrac|QUBIC
