geneID_A	geneID_B
1891	6595
8924	146956
6602	10455
8924	83871
8924	55871
7337	9097
8924	11316
6335	84461
79598	84461
8924	114294
817	3797
8924	55858
3854	10455
8924	9276
9958	84461
5597	9704
5440	84461
1891	22992
3895	84461
5108	8924
2512	8924
2071	84461
5476	8924
1891	8110
8924	79657
8604	84461
817	55728
817	64778
6603	55662
6139	7337
7337	23089
7337	51520
1891	65080
5257	8924
7337	8359
2965	7337
8924	25814
8924	116988
10455	55052
5189	8924
2181	84461
6311	55662
7337	55662
3646	7337
1891	84790
7337	55139
1891	7415
8924	138311
1891	56243
4645	84461
8924	27043
8031	8924
5936	55662
8924	148398
8924	57506
4000	8924
1891	5046
8924	150472
7337	552900
8924	9648
817	5970
8924	22818
8527	84461
2495	8924
1891	91754
7337	10910
2746	7337
708	84461
5352	84461
8924	219743
8924	89874
1891	83737
10455	79576
8924	55787
823	84461
55662	347733
8924	23557
8924	26025
8924	9765
8924	84790
817	26999
55662	81027
57448	84461
523	8924
4793	55662
3709	8924
5256	8924
8924	9925
817	3709
8924	23310
6041	55662
1891	8239
57679	84461
7337	79598
4649	5597
8924	54881
8924	60493
10600	84461
80311	84461
10146	55662
7337	57509
3872	8924
8924	80311
817	4638
6159	7337
55700	84461
5436	84461
8924	23299
5597	10455
817	8496
8924	10600
1891	6602
322	84461
8924	55218
6231	7337
10455	192669
8924	83733
8924	10142
1891	192669
4650	84461
7415	84461
54822	84461
8666	8924
8826	8924
8924	79751
8924	79002
8924	89941
23524	55662
5261	8924
5439	84461
5433	84461
8924	55243
5438	84461
4072	8924
8924	81027
563	10455
2976	8924
7337	140807
8924	84376
7337	10575
8924	124220
5432	84461
10455	56243
9919	10455
8924	29110
7337	219293
8924	55086
522	8924
8924	9525
7337	10534
8924	127933
6513	8924
6576	7337
55165	84461
6406	8924
84220	84461
3851	10455
7337	8664
1891	7417
1062	84461
8924	11180
5894	8924
7337	9997
7337	345651
8924	84823
5295	8924
7417	8924
8031	55662
817	80821
8924	54982
2778	8924
84461	200576
8924	10989
7337	85236
1891	57402
8924	374454
1891	11160
7337	22992
8030	84461
6430	55662
7337	10432
5597	8550
8924	10147
5597	60493
7337	8604
8924	140710
5297	84461
7337	8550
8924	10726
1891	79169
23089	84461
8924	57448
4430	5597
5597	84790
8665	8924
