geneID_A	geneID_B
6632	84557
1207	9706
6625	23710
6203	84557
6169	84557
8266	10075
51100	55379
7534	11337
1460	57599
26127	54764
5701	9097
5689	23710
8314	55252
5707	10213
5573	11345
81631	84078
6835	91833
3848	11337
5713	5718
51096	57602
2802	7186
6129	11345
6748	11345
5591	8678
3181	9706
4905	23673
1121	4927
2316	220213
10213	55049
6191	84557
9817	23710
10576	81631
5230	23710
9588	11345
9448	54764
11345	55646
11337	26953
6130	11345
8663	10868
11337	22827
11345	84790
11345	26986
5438	57599
292	81631
5706	9097
1558	23710
2547	11337
5339	10868
11321	57599
5562	9669
8833	84557
10131	84557
9895	23710
5036	79876
8878	84557
9014	79101
8678	55062
6789	9770
5955	11345
8237	26037
4830	84557
3032	11337
6282	23710
84557	112802
383	11337
9128	10443
5641	728393
10980	53339
4175	25862
11337	201163
11337	11345
5700	84938
57470	79931
2935	8678
1793	81631
6472	79876
2316	10146
23710	388698
9706	10539
9861	10213
83844	392197
64422	81631
1828	54532
10713	57062
4942	54726
83593	84557
4069	7398
5571	11337
3188	11337
23020	23710
11345	55213
8314	10951
8667	25801
8678	22863
5476	23710
8777	154796
10868	54989
27292	84132
1762	3315
51150	219333
5358	23710
301	8878
6143	11337
81570	84749
23710	497661
1915	84557
6144	11345
11345	23637
34	373509
11345	374454
2011	387119
9039	51720
11337	23192
2631	51479
81027	81631
3868	81631
9706	55844
10869	84896
10128	25862
23710	55299
5725	11337
3860	81631
1938	11345
6135	11337
6432	11337
1975	84078
23710	54431
5536	9706
9682	57599
4905	23256
10980	27252
4522	11337
23029	23710
3843	11345
9733	51018
2026	11345
2997	5563
8520	83734
6455	9821
1121	5422
11337	121504
23032	24138
11337	57002
7295	84557
3276	11345
1459	84557
3182	11337
10533	440738
5563	55971
6136	81631
3030	23710
10383	84557
2288	2309
580	51720
10869	113174
5584	27005
5436	85015
5586	8237
8266	91833
9520	54726
6621	55054
7874	8237
4628	8678
4734	23710
1201	55898
