geneID	cell_lines	descr	frac_occ	hcip_cutoff_sy5y	num_hek	num_sy5y	source	symbol	synonyms
347733	s	tubulin beta 2B class IIb	0.333333333333	90	0	2	seed	TUBB2B	PMGYSA|bA506K6.1
81565	None	nudE neurodevelopment protein 1 like 1	None	None	None	None	extended	NDEL1	EOPA|MITAP1|NDE1L1|NDE2|NUDEL
55644	None	O-sialoglycoprotein endopeptidase	None	None	None	None	extended	OSGEP	GCPL1|KAE1|OSGEP1|PRSMG1
51121	None	ribosomal protein L26 like 1	None	None	None	None	extended	RPL26L1	RPL26P1
6187	None	ribosomal protein S2	None	None	None	None	extended	RPS2	LLREP3|S2
6181	None	ribosomal protein lateral stalk subunit P2	None	None	None	None	extended	RPLP2	D11S2243E|LP2|P2|RPP2
6189	None	ribosomal protein S3A	None	None	None	None	extended	RPS3A	FTE1|MFTL|S3A
6188	None	ribosomal protein S3	None	None	None	None	extended	RPS3	S3
6231	h	ribosomal protein S26	0.416666666667	NA	5	0	seed	RPS26	DBA10|S26
6230	None	ribosomal protein S25	None	None	None	None	extended	RPS25	S25
6232	None	ribosomal protein S27	None	None	None	None	extended	RPS27	MPS-1|MPS1|S27
51386	None	eukaryotic translation initiation factor 3 subunit L	None	None	None	None	extended	EIF3L	EIF3EIP|EIF3S11|EIF3S6IP|HSPC021|HSPC025|MSTP005
55662	b	hypoxia inducible factor 1 alpha subunit inhibitor	1.0	95	12	3	seed	HIF1AN	FIH1
55661	None	DEAD-box helicase 27	None	None	None	None	extended	DDX27	DRS1|Drs1p|HSPC259|PP3241|RHLP|dJ686N3.1
140460	None	ankyrin repeat and SOCS box containing 7	None	None	None	None	extended	ASB7	-
7965	None	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	None	None	None	None	extended	AIMP2	JTV-1|JTV1|P38
10534	h	Sjogren syndrome/scleroderma autoantigen 1	0.25	NA	3	0	seed	SSSCA1	p27
9454	None	homer scaffolding protein 3	None	None	None	None	extended	HOMER3	HOMER-3|VESL3
143471	None	proteasome subunit alpha 8	None	None	None	None	extended	PSMA8	PSMA7L
322	None	amyloid beta precursor protein binding family B member 1	None	None	None	None	extended	APBB1	FE65|MGC:9072|RIR
23223	None	ribosomal RNA processing 12 homolog	None	None	None	None	extended	RRP12	KIAA0690
3646	h	eukaryotic translation initiation factor 3 subunit E	0.5	NA	6	0	seed	EIF3E	EIF3-P48|EIF3S6|INT6|eIF3-p46
23641	None	leucine zipper down-regulated in cancer 1	None	None	None	None	extended	LDOC1	BCUR1|Mar7|Mart7
8664	h	eukaryotic translation initiation factor 3 subunit D	0.583333333333	NA	7	0	seed	EIF3D	EIF3S7|eIF3-p66|eIF3-zeta
3065	None	histone deacetylase 1	None	None	None	None	extended	HDAC1	GON-10|HD1|RPD3|RPD3L1
6477	None	siah E3 ubiquitin protein ligase 1	None	None	None	None	extended	SIAH1	SIAH1A
8924	b	HECT and RLD domain containing E3 ubiquitin protein ligase 2	1.0	95	12	6	seed	HERC2	D15F37S1|MRT38|SHEP1|jdf2|p528
5597	h	mitogen-activated protein kinase 6	1.0	NA	12	0	seed	MAPK6	ERK3|HsT17250|PRKM6|p97MAPK
64753	None	coiled-coil domain containing 136	None	None	None	None	extended	CCDC136	NAG6
27250	None	programmed cell death 4 (neoplastic transformation inhibitor)	None	None	None	None	extended	PDCD4	H731
5901	h	RAN, member RAS oncogene family	0.25	NA	3	0	seed	RAN	ARA24|Gsp1|TC4
11198	None	SPT16 homolog, facilitates chromatin remodeling subunit	None	None	None	None	extended	SUPT16H	CDC68|FACTP140|SPT16|SPT16/CDC68
1915	None	eukaryotic translation elongation factor 1 alpha 1	None	None	None	None	extended	EEF1A1	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1
3959	None	galectin 3 binding protein	None	None	None	None	extended	LGALS3BP	90K|BTBD17B|CyCAP|M2BP|MAC-2-BP|TANGO10B|gp90
55722	None	centrosomal protein 72	None	None	None	None	extended	CEP72	-
55093	None	WDYHV motif containing 1	None	None	None	None	extended	WDYHV1	C8orf32
8350	None	histone cluster 1 H3 family member a	None	None	None	None	extended	HIST1H3A	H3/A|H3FA
10455	b	enoyl-CoA delta isomerase 2	1.0	95	12	2	seed	ECI2	ACBD2|DRS-1|DRS1|HCA88|PECI|dJ1013A10.3
55723	None	anti-silencing function 1B histone chaperone	None	None	None	None	extended	ASF1B	CIA-II
11224	None	ribosomal protein L35	None	None	None	None	extended	RPL35	L35
1937	None	eukaryotic translation elongation factor 1 gamma	None	None	None	None	extended	EEF1G	EF1G|GIG35
727851	None	RANBP2-like and GRIP domain containing 8	None	None	None	None	extended	RGPD8	RANBP2L1|RGP8|RanBP2alpha
28952	None	coiled-coil domain containing 22	None	None	None	None	extended	CCDC22	CXorf37|JM1|RTSC2
55705	None	importin 9	None	None	None	None	extended	IPO9	Imp9
80227	None	proteasomal ATPase associated factor 1	None	None	None	None	extended	PAAF1	PAAF|Rpn14|WDR71
11043	None	midline 2	None	None	None	None	extended	MID2	FXY2|MRX101|RNF60|TRIM1
9657	None	IQ motif containing B1	None	None	None	None	extended	IQCB1	NPHP5|PIQ|SLSN5
10120	None	ARP1 actin-related protein 1 homolog B, centractin beta	None	None	None	None	extended	ACTR1B	ARP1B|CTRN2|PC3
54939	None	COMM domain containing 4	None	None	None	None	extended	COMMD4	-
1643	None	damage specific DNA binding protein 2	None	None	None	None	extended	DDB2	DDBB|UV-DDB2|XPE
573	None	BCL2 associated athanogene 1	None	None	None	None	extended	BAG1	BAG-1|HAP|RAP46
4869	None	nucleophosmin	None	None	None	None	extended	NPM1	B23|NPM
5887	b	RAD23 homolog B, nucleotide excision repair protein	1.0	95	7	1	seed	RAD23B	HHR23B|HR23B|P58
5886	None	RAD23 homolog A, nucleotide excision repair protein	None	None	None	None	extended	RAD23A	HHR23A|HR23A
23451	None	splicing factor 3b subunit 1	None	None	None	None	extended	SF3B1	Hsh155|MDS|PRP10|PRPF10|SAP155|SF3b155
351	None	amyloid beta precursor protein	None	None	None	None	extended	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2
6125	None	ribosomal protein L5	None	None	None	None	extended	RPL5	DBA6|L5|MSTP030|PPP1R135
6124	None	ribosomal protein L4	None	None	None	None	extended	RPL4	L4
6122	None	ribosomal protein L3	None	None	None	None	extended	RPL3	ASC-1|L3|TARBP-B
6129	None	ribosomal protein L7	None	None	None	None	extended	RPL7	L7|humL7-1
22919	None	microtubule associated protein RP/EB family member 1	None	None	None	None	extended	MAPRE1	EB1
2783	None	G protein subunit beta 2	None	None	None	None	extended	GNB2	-
3192	None	heterogeneous nuclear ribonucleoprotein U	None	None	None	None	extended	HNRNPU	HNRNPU-AS1|HNRPU|SAF-A|SAFA|U21.1|hnRNP U
10142	None	A-kinase anchoring protein 9	None	None	None	None	extended	AKAP9	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO
1627	None	drebrin 1	None	None	None	None	extended	DBN1	D0S117E
6143	None	ribosomal protein L19	None	None	None	None	extended	RPL19	L19
6142	None	ribosomal protein L18a	None	None	None	None	extended	RPL18A	L18A
6141	None	ribosomal protein L18	None	None	None	None	extended	RPL18	L18
6147	None	ribosomal protein L23a	None	None	None	None	extended	RPL23A	L23A|MDA20
6146	None	ribosomal protein L22	None	None	None	None	extended	RPL22	EAP|HBP15|HBP15/L22|L22
2275	None	four and a half LIM domains 3	None	None	None	None	extended	FHL3	SLIM2
56915	None	exosome component 5	None	None	None	None	extended	EXOSC5	RRP41B|RRP46|Rrp46p|hRrp46p|p12B
2058	None	glutamyl-prolyl-tRNA synthetase	None	None	None	None	extended	EPRS	EARS|GLUPRORS|PARS|PIG32|QARS|QPRS
255626	None	histone cluster 1 H2B family member a	None	None	None	None	extended	HIST1H2BA	H2BFU|STBP|TH2B|TSH2B|TSH2B.1|bA317E16.3
7322	None	ubiquitin conjugating enzyme E2 D2	None	None	None	None	extended	UBE2D2	E2(17)KB2|PUBC1|UBC4|UBC4/5|UBCH4|UBCH5B
9349	None	ribosomal protein L23	None	None	None	None	extended	RPL23	L23|rpL17
9618	None	TNF receptor associated factor 4	None	None	None	None	extended	TRAF4	CART1|MLN62|RNF83
