geneID	cell_lines	descr	frac_occ	hcip_cutoff_sy5y	num_hek	num_sy5y	source	symbol	synonyms
5682	b	proteasome subunit alpha 1	1.0	90	12	5	seed	PSMA1	HC2|HEL-S-275|NU|PROS30
10006	None	abl interactor 1	None	None	None	None	extended	ABI1	ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1
9045	None	ribosomal protein L14	None	None	None	None	extended	RPL14	CAG-ISL-7|CTG-B33|L14|RL14|hRL14
51514	None	denticleless E3 ubiquitin protein ligase homolog	None	None	None	None	extended	DTL	CDT2|DCAF2|L2DTL|RAMP
6606	None	survival of motor neuron 1, telomeric	None	None	None	None	extended	SMN1	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A
6607	None	survival of motor neuron 2, centromeric	None	None	None	None	extended	SMN2	BCD541|C-BCD541|GEMIN1|SMNC|TDRD16B
10856	None	RuvB like AAA ATPase 2	None	None	None	None	extended	RUVBL2	CGI-46|ECP-51|ECP51|INO80J|REPTIN|RVB2|TAP54-beta|TIH2|TIP48|TIP49B
1891	b	enoyl-CoA hydratase 1	1.0	95	12	2	seed	ECH1	HPXEL
9694	None	ER membrane protein complex subunit 2	None	None	None	None	extended	EMC2	KIAA0103|TTC35
55159	None	ring finger and WD repeat domain 3	None	None	None	None	extended	RFWD3	RNF201
3895	b	kinectin 1	1.0	95	7	1	seed	KTN1	CG1|KNT|MU-RMS-40.19
23089	h	paternally expressed 10	0.583333333333	NA	7	0	seed	PEG10	EDR|HB-1|MEF3L|Mar2|Mart2|RGAG3
7408	s	vasodilator-stimulated phosphoprotein	0.333333333333	95	0	2	seed	VASP	-
7407	None	valyl-tRNA synthetase	None	None	None	None	extended	VARS	G7A|VARS1|VARS2
5689	b	proteasome subunit beta 1	1.0	90	12	3	seed	PSMB1	HC5|PMSB1|PSC5
80351	None	tankyrase 2	None	None	None	None	extended	TNKS2	ARTD6|PARP-5b|PARP-5c|PARP5B|PARP5C|TANK2|TNKL|pART6
10540	None	dynactin subunit 2	None	None	None	None	extended	DCTN2	DCTN50|DYNAMITIN|HEL-S-77|RBP50
9861	b	proteasome 26S subunit, non-ATPase 6	1.0	90	12	5	seed	PSMD6	Rpn7|S10|SGA-113M|p42A|p44S10
5082	None	phosducin like	None	None	None	None	extended	PDCL	PhLP
3735	None	lysyl-tRNA synthetase	None	None	None	None	extended	KARS	CMTRIB|DFNB89|KARS1|KARS2|KRS
25842	None	anti-silencing function 1A histone chaperone	None	None	None	None	extended	ASF1A	CGI-98|CIA|HSPC146
4736	None	ribosomal protein L10a	None	None	None	None	extended	RPL10A	CSA19|Csa-19|L10A|NEDD6
5859	None	glutaminyl-tRNA synthetase	None	None	None	None	extended	QARS	GLNRS|MSCCA|PRO2195
6204	None	ribosomal protein S10	None	None	None	None	extended	RPS10	DBA9|S10
6205	None	ribosomal protein S11	None	None	None	None	extended	RPS11	S11
6206	None	ribosomal protein S12	None	None	None	None	extended	RPS12	S12
6207	None	ribosomal protein S13	None	None	None	None	extended	RPS13	S13
6201	None	ribosomal protein S7	None	None	None	None	extended	RPS7	DBA8|S7
6202	None	ribosomal protein S8	None	None	None	None	extended	RPS8	S8
6203	None	ribosomal protein S9	None	None	None	None	extended	RPS9	S9
6208	None	ribosomal protein S14	None	None	None	None	extended	RPS14	EMTB|S14
283899	None	INO80 complex subunit E	None	None	None	None	extended	INO80E	CCDC95
6801	None	striatin	None	None	None	None	extended	STRN	PPP2R6A|SG2NA
79711	None	importin 4	None	None	None	None	extended	IPO4	Imp4
6156	None	ribosomal protein L30	None	None	None	None	extended	RPL30	L30
28988	None	drebrin like	None	None	None	None	extended	DBNL	ABP1|HIP-55|HIP55|SH3P7
51608	None	golgi to ER traffic protein 4	None	None	None	None	extended	GET4	C7orf20|CEE|CGI-20|TRC35
117246	None	FtsJ homolog 3	None	None	None	None	extended	FTSJ3	EPCS3|SPB1
387	None	ras homolog family member A	None	None	None	None	extended	RHOA	ARH12|ARHA|RHO12|RHOH12
6194	None	ribosomal protein S6	None	None	None	None	extended	RPS6	S6
6191	None	ribosomal protein S4, X-linked	None	None	None	None	extended	RPS4X	CCG2|DXS306|RPS4|S4|SCAR|SCR10
6193	None	ribosomal protein S5	None	None	None	None	extended	RPS5	S5
9184	None	BUB3, mitotic checkpoint protein	None	None	None	None	extended	BUB3	BUB3L|hBUB3
7203	None	chaperonin containing TCP1 subunit 3	None	None	None	None	extended	CCT3	CCT-gamma|CCTG|PIG48|TCP-1-gamma|TRIC5
6222	None	ribosomal protein S18	None	None	None	None	extended	RPS18	D6S218E|HKE3|KE-3|KE3|S18
6223	None	ribosomal protein S19	None	None	None	None	extended	RPS19	DBA|DBA1|S19
6227	None	ribosomal protein S21	None	None	None	None	extended	RPS21	HLDF|S21
6224	None	ribosomal protein S20	None	None	None	None	extended	RPS20	S20
6228	None	ribosomal protein S23	None	None	None	None	extended	RPS23	S23
9972	None	nucleoporin 153	None	None	None	None	extended	NUP153	HNUP153|N153
5048	None	platelet activating factor acetylhydrolase 1b regulatory subunit 1	None	None	None	None	extended	PAFAH1B1	LIS1|LIS2|MDCR|MDS|NudF|PAFAH
10197	None	proteasome activator subunit 3	None	None	None	None	extended	PSME3	HEL-S-283|Ki|PA28-gamma|PA28G|PA28gamma|REG-GAMMA
56658	None	tripartite motif containing 39	None	None	None	None	extended	TRIM39	RNF23|TFP|TRIM39B
10693	None	chaperonin containing TCP1 subunit 6B	None	None	None	None	extended	CCT6B	CCT-zeta-2|CCTZ-2|Cctz2|TCP-1-zeta-2|TSA303
10694	None	chaperonin containing TCP1 subunit 8	None	None	None	None	extended	CCT8	C21orf112|Cctq|D21S246|PRED71
829	None	capping actin protein of muscle Z-line alpha subunit 1	None	None	None	None	extended	CAPZA1	CAPPA1|CAPZ|CAZ1
6749	None	structure specific recognition protein 1	None	None	None	None	extended	SSRP1	FACT|FACT80|T160
830	None	capping actin protein of muscle Z-line alpha subunit 2	None	None	None	None	extended	CAPZA2	CAPPA2|CAPZ
5393	None	exosome component 9	None	None	None	None	extended	EXOSC9	PM/Scl-75|PMSCL1|RRP45|Rrp45p|p5|p6
1104	None	regulator of chromosome condensation 1	None	None	None	None	extended	RCC1	CHC1|RCC1-I|SNHG3-RCC1
4798	None	nuclear factor related to kappaB binding protein	None	None	None	None	extended	NFRKB	INO80G
4792	None	NFKB inhibitor alpha	None	None	None	None	extended	NFKBIA	IKBA|MAD-3|NFKBI
11258	None	dynactin subunit 3	None	None	None	None	extended	DCTN3	DCTN-22|DCTN22
93380	None	membrane magnesium transporter 1	None	None	None	None	extended	MMGT1	EMC5|TMEM32
7979	None	split hand/foot malformation (ectrodactyly) type 1	None	None	None	None	extended	SHFM1	DSS1|ECD|SEM1|SHFD1|SHSF1|Shfdg1
9491	None	proteasome inhibitor subunit 1	None	None	None	None	extended	PSMF1	PI31
54469	b	zinc finger AN1-type containing 6	1.0	95	2	1	seed	ZFAND6	AWP1|ZA20D3|ZFAND5B
1736	None	dyskerin pseudouridine synthase 1	None	None	None	None	extended	DKC1	CBF5|DKC|DKCX|NAP57|NOLA4|XAP101
23212	None	ribosome biogenesis regulator homolog	None	None	None	None	extended	RRS1	-
3921	h	ribosomal protein SA	0.416666666667	NA	5	0	seed	RPSA	37LRP|67LR|ICAS|LAMBR|LAMR1|LBP|LBP/p40|LRP|LRP/LR|NEM/1CHD4|SA|lamR|p40
9933	None	pumilio RNA binding family member 3	None	None	None	None	extended	PUM3	HA-8|HLA-HA8|KIAA0020|PEN|PUF-A|PUF6|XTP5
908	None	chaperonin containing TCP1 subunit 6A	None	None	None	None	extended	CCT6A	CCT-zeta|CCT-zeta-1|CCT6|Cctz|HTR3|MoDP-2|TCP-1-zeta|TCP20|TCPZ|TTCP20
5586	None	protein kinase N2	None	None	None	None	extended	PKN2	PAK2|PRK2|PRKCL2|PRO2042|Pak-2|STK7
5585	None	protein kinase N1	None	None	None	None	extended	PKN1	DBK|PAK-1|PAK1|PKN|PKN-ALPHA|PRK1|PRKCL1
51371	None	proteasome maturation protein	None	None	None	None	extended	POMP	C13orf12|HSPC014|PNAS-110|UMP1
6731	None	signal recognition particle 72	None	None	None	None	extended	SRP72	BMFF|BMFS1|HEL103
5217	None	profilin 2	None	None	None	None	extended	PFN2	D3S1319E|PFL
121441	None	neural precursor cell expressed, developmentally down-regulated 1	None	None	None	None	extended	NEDD1	GCP-WD|TUBGCP7
84220	None	RANBP2-like and GRIP domain containing 5	None	None	None	None	extended	RGPD5	BS-63|BS63|HEL161|RGP5
5567	None	protein kinase cAMP-activated catalytic subunit beta	None	None	None	None	extended	PRKACB	PKA C-beta|PKACB
23404	None	exosome component 2	None	None	None	None	extended	EXOSC2	RRP4|Rrp4p|hRrp4p|p7
7283	None	tubulin gamma 1	None	None	None	None	extended	TUBG1	CDCBM4|GCP-1|TUBG|TUBGCP1
22948	None	chaperonin containing TCP1 subunit 5	None	None	None	None	extended	CCT5	CCT-epsilon|CCTE|HEL-S-69|PNAS-102|TCP-1-epsilon
8624	None	proteasome assembly chaperone 1	None	None	None	None	extended	PSMG1	C21LRP|DSCR2|LRPC21|PAC-1|PAC1
55388	None	minichromosome maintenance 10 replication initiation factor	None	None	None	None	extended	MCM10	CNA43|DNA43|PRO2249
329	None	baculoviral IAP repeat containing 2	None	None	None	None	extended	BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1
6138	None	ribosomal protein L15	None	None	None	None	extended	RPL15	DBA12|EC45|L15|RPL10|RPLY10|RPYL10
6132	None	ribosomal protein L8	None	None	None	None	extended	RPL8	L8
6133	None	ribosomal protein L9	None	None	None	None	extended	RPL9	L9|NPC-A-16
6130	None	ribosomal protein L7a	None	None	None	None	extended	RPL7A	L7A|SURF3|TRUP
6136	None	ribosomal protein L12	None	None	None	None	extended	RPL12	L12
6137	None	ribosomal protein L13	None	None	None	None	extended	RPL13	BBC1|D16S444E|D16S44E|L13
6134	None	ribosomal protein L10	None	None	None	None	extended	RPL10	AUTSX5|DXS648|DXS648E|L10|NOV|QM
6135	None	ribosomal protein L11	None	None	None	None	extended	RPL11	DBA7|GIG34|L11
22924	None	microtubule associated protein RP/EB family member 3	None	None	None	None	extended	MAPRE3	EB3|EBF3|EBF3-S|RP3
5692	b	proteasome subunit beta 4	1.0	90	12	4	seed	PSMB4	HN3|HsN3|PROS-26|PROS26
5690	b	proteasome subunit beta 2	1.0	90	12	4	seed	PSMB2	HC7-I
1982	None	eukaryotic translation initiation factor 4 gamma 2	None	None	None	None	extended	EIF4G2	AAG1|DAP5|NAT1|P97
1639	None	dynactin subunit 1	None	None	None	None	extended	DCTN1	DAP-150|DP-150|P135
3376	None	isoleucyl-tRNA synthetase	None	None	None	None	extended	IARS	GRIDHH|IARS1|ILERS|ILRS|IRS|PRO0785
23198	b	proteasome activator subunit 4	1.0	90	12	1	seed	PSME4	PA200
6152	None	ribosomal protein L24	None	None	None	None	extended	RPL24	HEL-S-310|L24
6154	None	ribosomal protein L26	None	None	None	None	extended	RPL26	DBA11|L26
6155	None	ribosomal protein L27	None	None	None	None	extended	RPL27	L27
6157	None	ribosomal protein L27a	None	None	None	None	extended	RPL27A	L27A
10969	None	EBNA1 binding protein 2	None	None	None	None	extended	EBNA1BP2	EBP2|NOBP|P40
10097	None	ARP2 actin related protein 2 homolog	None	None	None	None	extended	ACTR2	ARP2
